name,px_prec,px_rec,px_f1,delta_f1,frame_f1,time_ms
기존 최적 (Frame Diff),0.4227,0.5291,0.4699,+0.0000,0.633,3.2
Running Average (이전 최적),0.4285,0.8336,0.566,+0.0961,0.6205,3.8
RunAvg + CDnet ROI,0.4285,0.8336,0.566,+0.0961,0.6361,3.3
RunAvg + Temporal Voting(3),0.4285,0.8336,0.566,+0.0961,0.6201,3.0
RunAvg + Shape Filter,0.4285,0.8336,0.566,+0.0961,0.6003,3.3
RunAvg + Morph 7×7,0.393,0.823,0.532,+0.0621,0.618,3.4
RunAvg + ROI + Temporal + Shape,0.4285,0.8336,0.566,+0.0961,0.5354,3.1
Canny Edge Diff,0.0,0.0,0.0,-0.4699,0.0,4.5
3-Frame Difference,0.4977,0.1087,0.1785,-0.2914,0.5222,3.1
--- AI: MOG2 ---,0.5224,0.7453,0.6143,+0.1444,0.6222,6.3
MOG2 + ROI,0.5224,0.7453,0.6143,+0.1444,0.6412,5.7
